data,nivel cm,ARIMA_predistion,GARCH_prediction,ARIMA-LSTM_Pred
2021-03-13,684,562.0598025104632,,
2021-03-14,690,561.8675898588618,,
2021-03-15,694,561.6759584481454,,
2021-03-16,696,561.484906520672,,
2021-03-17,698,561.2944323241151,,
2021-03-18,704,561.1045341114468,,
2021-03-19,708,560.9152101409227,,
2021-03-20,708,560.7264586760647,,
2021-03-21,712,560.5382779856459,,
2021-03-22,712,560.3506663436747,,
2021-03-23,710,560.1636220293788,,
2021-03-24,710,559.9771433271892,,
2021-03-25,712,559.7912285267248,,
2021-03-26,714,559.6058759227768,,
2021-03-27,716,559.4210838152926,,
2021-03-28,720,559.2368505093606,,
2021-03-29,724,559.0531743151944,,
2021-03-30,730,558.8700535481175,,
2021-03-31,734,558.6874865285479,,
2021-04-01,740,558.5054715819824,,588.0042144111338
2021-04-02,746,558.3240070389813,,
2021-04-03,750,558.1430912351536,,
2021-04-04,750,557.962722511141,,
2021-04-05,752,557.7828992126031,,
2021-04-06,752,557.603619690202,,
2021-04-07,752,557.4248822995876,,
2021-04-08,750,557.2466854013819,,
2021-04-09,748,557.0690273611647,,
2021-04-10,748,556.8919065494578,,
2021-04-11,748,556.7153213417107,,
2021-04-12,750,556.5392701182852,,
2021-04-13,750,556.3637512644414,,
2021-04-14,752,556.1887631703213,,
2021-04-15,752,556.014304230936,,
2021-04-16,752,555.8403728461494,,
2021-04-17,754,555.6669674206644,,
2021-04-18,756,555.4940863640079,,
2021-04-19,758,555.3217280905163,,
2021-04-20,758,555.149891019321,,
2021-04-21,758,554.9785735743337,,
2021-04-22,758,554.8077741842325,,
2021-04-23,758,554.6374912824466,,
2021-04-24,766,554.4677233071429,,
2021-04-25,762,554.2984687012108,,
2021-04-26,766,554.1297259122485,,
2021-04-27,770,553.9614933925488,,
2021-04-28,774,553.7937695990842,,
2021-04-29,778,553.6265529934935,,
2021-04-30,782,553.4598420420675,,
2021-05-01,788,553.2936352157349,,582.7923780448863
2021-05-02,788,553.1279309900478,,
2021-05-03,788,552.9627278451687,,
2021-05-04,792,552.7980242658556,,
2021-05-05,792,552.6338187414489,,
2021-05-06,790,552.4701097658566,,
2021-05-07,790,552.3068958375416,,
2021-05-08,790,552.144175459507,,
2021-05-09,794,551.981947139283,,
2021-05-10,798,551.8202093889126,,
2021-05-11,798,551.6589607249389,,
2021-05-12,800,551.4981996683903,,
2021-05-13,804,551.3379247447676,,
2021-05-14,806,551.1781344840309,,
2021-05-15,804,551.0188274205851,,
2021-05-16,806,550.8600020932672,,
2021-05-17,804,550.7016570453326,,
2021-05-18,802,550.5437908244419,,
2021-05-19,800,550.3864019826474,,
2021-05-20,800,550.2294890763801,,
2021-05-21,798,550.0730506664361,,
2021-05-22,798,549.9170853179637,,
2021-05-23,796,549.76159160045,,
2021-05-24,800,549.6065680877077,,
2021-05-25,800,549.4520133578628,,
2021-05-26,802,549.2979259933406,,
2021-05-27,802,549.144304580853,,
2021-05-28,802,548.9911477113857,,
2021-05-29,804,548.8384539801851,,
2021-05-30,804,548.6862219867459,,
2021-05-31,803,548.5344503347973,,
2021-06-01,802,548.383137632291,,577.8818804614424
2021-06-02,802,548.2322824913883,,
2021-06-03,798,548.0818835284471,,
2021-06-04,796,547.9319393640093,,
2021-06-05,794,547.7824486227884,,
2021-06-06,794,547.6334099336565,,
2021-06-07,790,547.4848219296321,,
2021-06-08,788,547.3366832478672,,
2021-06-09,788,547.1889925296351,,
2021-06-10,790,547.041748420318,,
2021-06-11,788,546.8949495693937,,
2021-06-12,788,546.7485946304248,,
2021-06-13,784,546.602682261045,,
2021-06-14,780,546.457211122947,,
2021-06-15,780,546.3121798818711,,
2021-06-16,780,546.1675872075919,,
2021-06-17,780,546.0234317739064,,
2021-06-18,778,545.8797122586225,,
2021-06-19,776,545.7364273435458,,
2021-06-20,778,545.5935757144683,,
2021-06-21,780,545.4511560611562,,
2021-06-22,778,545.3091670773376,,
2021-06-23,778,545.1676074606908,,
2021-06-24,776,545.026475912832,,
2021-06-25,776,544.885771139304,,
2021-06-26,776,544.7454918495638,,
2021-06-27,776,544.6056367569709,,
2021-06-28,776,544.4662045787755,,
2021-06-29,772,544.3271940361071,,
2021-06-30,772,544.188603853962,,
2021-07-01,770,544.0504327611923,,573.5491755903437
2021-07-02,768,543.9126794904938,,
2021-07-03,766,543.7753427783948,,
2021-07-04,766,543.638421365244,,
2021-07-05,762,543.5019139951995,,
2021-07-06,760,543.3658194162168,,
2021-07-07,756,543.2301363800376,,
2021-07-08,756,543.0948636421782,,
2021-07-09,752,542.9599999619182,,
2021-07-10,750,542.8255441022892,,
2021-07-11,750,542.691494830063,,
2021-07-12,750,542.557850915741,,
2021-07-13,750,542.4246111335422,,
2021-07-14,748,542.2917742613926,,
2021-07-15,748,542.1593390809132,,
2021-07-16,746,542.0273043774101,,
2021-07-17,744,541.8956689398619,,
2021-07-18,740,541.7644315609095,,
2021-07-19,738,541.6335910368449,,
2021-07-20,734,541.5031461675997,,
2021-07-21,732,541.3730957567348,,
2021-07-22,730,541.2434386114288,,
2021-07-23,730,541.1141735424677,,
2021-07-24,728,540.9852993642332,,
2021-07-25,726,540.8568148946925,,
2021-07-26,722,540.7287189553872,,
2021-07-27,720,540.6010103714223,,
2021-07-28,718,540.4736879714558,,
2021-07-29,716,540.3467505876877,,
2021-07-30,716,540.2201970558494,,
2021-07-31,712,540.0940262151933,,
2021-08-01,706,539.968236908481,,569.4669797376324
2021-08-02,700,539.8428279819743,,
2021-08-03,696,539.7177982854237,,
2021-08-04,690,539.5931466720576,,
2021-08-05,684,539.4688719985728,,
2021-08-06,676,539.3449731251228,,
2021-08-07,670,539.2214489153082,,
2021-08-08,670,539.0982982361661,,
2021-08-09,672,538.9755199581596,,
2021-08-10,672,538.8531129551671,,
2021-08-11,670,538.7310761044728,,
2021-08-12,668,538.6094082867558,,
2021-08-13,666,538.4881083860797,,
2021-08-14,666,538.367175289883,,
2021-08-15,664,538.2466078889682,,
2021-08-16,660,538.1264050774924,,
2021-08-17,656,538.0065657529562,,
2021-08-18,656,537.8870888161945,,
2021-08-19,654,537.7679731713657,,
2021-08-20,644,537.6492177259422,,
2021-08-21,638,537.5308213907001,,
2021-08-22,636,537.4127830797091,,
2021-08-23,636,537.2951017103229,,
2021-08-24,634,537.177776203169,,
